Year,China,EuropeanUnion,Poland
2014,120.60,103.19,119.77
2013,119.76,100.86,108.34
2012,118.34,92.89,108.43
2011,115.19,100.06,101.18
2010,110.41,95.97,97.89
2009,107.69,100.72,109.30
2008,107.09,99.13,105.40
2007,101.25,92.18,98.54
2006,99.52,95.33,89.88
2005,101.03,98.01,97.95
2004,99.45,106.65,112.18
2003,91.12,93.85,96.20
2002,96.80,97.80,102.03
2001,95.92,99.63,112.44
2000,98.24,100.58,108.09
1999,102.57,100.71,105.73
1998,103.27,97.52,117.93
1997,99.42,99.01,106.09
1996,100.08,98.08,117.65
1995,93.88,90.36,113.72
1994,89.29,89.42,98.86
1993,90.18,93.78,130.66
1992,87.05,91.76,98.38
1991,85.72,91.17,121.23
1990,88.06,91.84,132.98
1989,80.55,94.72,129.41
1988,78.46,91.44,126.20
1987,80.56,93.50,123.78
1986,77.82,93.42,134.56
1985,76.85,92.18,122.82
1984,82.00,95.43,125.76
1983,77.33,87.36,115.77
1982,71.66,92.19,109.32
1981,65.29,84.55,121.04
1980,63.90,85.92,86.11
1979,65.14,88.71,129.23
1978,62.83,85.23,131.01
1977,56.93,78.83,117.03
1976,56.26,79.80,135.98
1975,56.69,80.43,125.40
1974,55.49,83.94,127.46
1973,55.04,84.45,133.94
1972,49.10,78.31,123.97
1971,50.73,77.44,107.85
1970,49.50,77.99,123.72
1969,43.38,75.00,112.83
1968,43.16,77.73,126.09
1967,44.08,77.38,119.64
1966,43.77,73.20,115.42
1965,39.96,71.54,105.00
1964,37.11,71.74,113.67
1963,33.46,71.91,105.28
1962,31.33,68.18,87.63
1961,27.76,65.28,106.72
